Day of Week,Date,DS-160(Time) M,ECON-232(Time) M,IDC-401(Time) M,Work(Time) M,,
Monday,1/8/24,,50,,,1,1/8/24
Tuesday,1/9/24,75,,200,,2,1/9/24
Wednesday,1/10/24,,55,,240,2,1/10/24
Thursday,1/11/24,80,,,240,2,1/11/24
Friday,1/12/24,,50,,300,2,1/12/24
Saturday,1/13/24,,,,360,1,1/13/24
Sunday,1/14/24,,20,,360,2,1/14/24
Monday,1/15/24,22,,,,1,1/15/24
Tuesday,1/16/24,80,,120,,2,1/16/24
Wednesday,1/17/24,,52,,245,2,1/17/24
Thursday,1/18/24,,,,240,1,1/18/24
Friday,1/19/24,,50,,302,2,1/19/24
Saturday,1/20/24,,,,360,1,1/20/24
Sunday,1/21/24,,,,365,1,1/21/24
Monday,1/22/24,,50,,,1,1/22/24
Tuesday,1/23/24,76,30,137,,3,1/23/24
Wednesday,1/24/24,,50,,200,2,1/24/24
Thursday,1/25/24,100,,,253,2,1/25/24
Friday,1/26/24,,50,,200,2,1/26/24
Saturday,1/27/24,,,,320,1,1/27/24
Sunday,1/28/24,,,,300,1,1/28/24
Monday,1/29/24,,50,,,1,1/29/24
Tuesday,1/30/24,85,,152,,2,1/30/24
Wednesday,1/31/24,,50,,280,2,1/31/24
Thursday,2/1/24,75,,,300,2,2/1/24
Friday,2/2/24,,53,,485,2,2/2/24
Saturday,2/3/24,,,,362,1,2/3/24
Sunday,2/4/24,,,,360,1,2/4/24
Monday,2/5/24,,60,,,1,2/5/24
Tuesday,2/6/24,80,20,90,,3,2/6/24
Wednesday,2/7/24,,50,,,1,2/7/24
Thursday,2/8/24,75,,,250,2,2/8/24
Friday,2/9/24,,,,187,1,2/9/24
Saturday,2/10/24,,,,307,1,2/10/24
Sunday,2/11/24,,,,300,1,2/11/24
Monday,2/12/24,,,,,0,2/12/24
Tuesday,2/13/24,10,,20,,2,2/13/24
Wednesday,2/14/24,10,50,,315,3,2/14/24
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
,,,,,,0,
